client,facility,system,device,channo,channame,chanunits,description
Woodside,Scarborough,IMMS,,343,ML 14 Tension 2,tonnes,Measured redundant mooring line ML 14 tension at fairlead
Woodside,Scarborough,IMMS,,344,ML 14 Angle,deg,Measured mooring line ML 14 angle from vertical at fairlead
Woodside,Scarborough,IMMS,,345,ML 14 Latch Position,deg,Stopper latch angle for mooring line ML 14
Woodside,Scarborough,IMMS,,346,ML 15 Tension 1,tonnes,Measured mooring line ML 15 tension at fairlead
Woodside,Scarborough,IMMS,,347,ML 15 Tension 2,tonnes,Measured redundant mooring line ML 15 tension at fairlead
Woodside,Scarborough,IMMS,,348,ML 15 Angle,deg,Measured mooring line ML 15 angle from vertical at fairlead
Woodside,Scarborough,IMMS,,349,ML 15 Latch Position,deg,Stopper latch angle for mooring line ML 15
Woodside,Scarborough,IMMS,,350,SW Supply Damper 1 ZSC,bool,SW Supply Damper 1 Fully Closed Indication
Woodside,Scarborough,IMMS,,351,SW Supply Damper 1 ZSO,bool,SW Supply Damper 1 Fully Open Indication
Woodside,Scarborough,IMMS,,352,SW Exhaust Damper 2 ZSC,bool,SW Exhaust Damper 2 Fully Closed Indication
Woodside,Scarborough,IMMS,,353,SW Exhaust Damper 2 ZSO,bool,SW Exhaust Damper 2 Fully Open Indication
Woodside,Scarborough,IMMS,,354,SW Exhaust Damper 3 ZSC,bool,SW Exhaust Damper 3 Fully Closed Indication
Woodside,Scarborough,IMMS,,355,SW Exhaust Damper 3 ZSO,bool,SW Exhaust Damper 3 Fully Open Indication
Woodside,Scarborough,IMMS,,356,SW Close Door,bool,SW Column Door Fully Closed Indication
Woodside,Scarborough,IMMS,,357,SW Close Hatch,bool,SW Column Hatch Fully Closed Indication
Woodside,Scarborough,IMMS,,358,SW ML PLC Watchdog,counter,Heartbeat Counter
Woodside,Scarborough,IMMS,,359,ML 16 Tension 1,tonnes,Measured mooring line ML 16 tension at fairlead
Woodside,Scarborough,IMMS,,360,ML 16 Tension 2,tonnes,Measured redundant mooring line ML 16 tension at fairlead
Woodside,Scarborough,IMMS,,361,ML 16 Angle,deg,Measured mooring line ML 16 angle from vertical at fairlead
Woodside,Scarborough,IMMS,,362,ML 16 Latch Position,deg,Stopper latch angle for mooring line ML 16
Woodside,Scarborough,IMMS,,363,ML 17 Tension 1,tonnes,Measured mooring line ML 17 tension at fairlead
Woodside,Scarborough,IMMS,,364,ML 17 Tension 2,tonnes,Measured redundant mooring line ML 17 tension at fairlead
Woodside,Scarborough,IMMS,,365,ML 17 Angle,deg,Measured mooring line ML 17 angle from vertical at fairlead
Woodside,Scarborough,IMMS,,366,ML 17 Latch Position,deg,Stopper latch angle for mooring line ML 17
Woodside,Scarborough,IMMS,,367,ML 18 Tension 1,tonnes,Measured mooring line ML 18 tension at fairlead
Woodside,Scarborough,IMMS,,368,ML 18 Tension 2,tonnes,Measured redundant mooring line ML 18 tension at fairlead
Woodside,Scarborough,IMMS,,369,ML 18 Angle,deg,Measured mooring line ML 18 angle from vertical at fairlead
Woodside,Scarborough,IMMS,,370,ML 18 Latch Position,deg,Stopper latch angle for mooring line ML1 8
Woodside,Scarborough,IMMS,,371,ML 19 Tension 1,tonnes,Measured mooring line ML 19 tension at fairlead
Woodside,Scarborough,IMMS,,372,ML 19 Tension 2,tonnes,Measured redundant mooring line ML 19 tension at fairlead
Woodside,Scarborough,IMMS,,373,ML 19 Angle,deg,Measured mooring line ML 19 angle from vertical at fairlead
Woodside,Scarborough,IMMS,,374,ML 19 Latch Position,deg,Stopper latch angle for mooring line ML 19
Woodside,Scarborough,IMMS,,375,ML 20 Tension 1,tonnes,Measured mooring line ML 20 tension at fairlead
Woodside,Scarborough,IMMS,,376,ML 20 Tension 2,tonnes,Measured redundant mooring line ML 20 tension at fairlead
